title,company,location,experience,skills,description
"Legal Advisor","Lex & Law Associates","Pune","4-6 years","Legal Research;Contract Drafting;Litigation","Provide legal advice and draft agreements."
"Fitness Trainer","FitLife Gym","Jaipur","2-4 years","Fitness Training;Diet Planning;Motivation","Train clients in exercises and fitness routines."
"Event Manager","Celebrations Pvt Ltd","Mumbai","3-5 years","Event Planning;Vendor Management;Coordination","Plan and execute events and functions."
"Supply Chain Manager","Global Logistics Ltd","Chennai","5-7 years","Logistics;Inventory Control;Procurement","Oversee supply chain operations."
"Barista","Coffee Corner","Kolkata","1-2 years","Coffee Brewing;Customer Service;POS","Prepare and serve coffee beverages."
"Software Architect","Innovatech Solutions","Bangalore","6-10 years","System Design;Cloud Computing;Microservices","Design architecture for complex software systems."
"Physiotherapist","Healing Hands Clinic","Ahmedabad","3-5 years","Physiotherapy;Rehabilitation;Patient Care","Provide physical therapy for injury recovery."
"Electrician","PowerFix Services","Surat","2-4 years","Electrical Repairs;Wiring;Safety","Install and maintain electrical systems."
"Marketing Executive","PromoPlus Pvt Ltd","Hyderabad","1-3 years","Marketing;Lead Generation;Branding","Assist in marketing activities and campaigns."
"Research Scientist","BioTech Labs","Pune","4-6 years","Research;Lab Equipment;Data Analysis","Conduct experiments and document findings."
"Taxi Driver","City Cabs","Lucknow","2-4 years","Driving;Navigation;Customer Service","Transport passengers safely to their destinations."
"Security Guard","SafeZone Security","Delhi","1-3 years","Surveillance;Patrolling;Emergency Response","Ensure safety and security of premises."
"Fashion Designer","StyleWorks","Mumbai","3-5 years","Fashion Design;Sketching;Textile Knowledge","Design clothing and accessories."
"Data Engineer","DataWorks Technologies","Chennai","2-4 years","ETL;SQL;Python","Build and maintain data pipelines."
"Translator","LinguaConnect","Bangalore","2-4 years","Translation;Editing;Proofreading","Translate documents from one language to another."
"HR Executive","PeopleFirst HR","Jaipur","1-3 years","Recruitment;Onboarding;Employee Engagement","Assist in HR operations and hiring."
"Flight Attendant","SkyHigh Airlines","Delhi","1-3 years","Customer Service;Safety Procedures;First Aid","Ensure passenger safety and comfort."
"SEO Specialist","SearchPro Digital","Mumbai","2-4 years","SEO;Google Analytics;Keyword Research","Optimize websites for search engines."
"Carpenter","WoodCraft","Kolkata","3-5 years","Woodworking;Furniture Making;Repairs","Create and repair wooden furniture."
"IT Support Specialist","TechHelp Services","Pune","1-3 years","Technical Support;Troubleshooting;Networking","Provide IT support to clients."
"Chef (Pastry)","Sweet Delights","Ahmedabad","3-5 years","Baking;Decoration;Creativity","Prepare pastries and desserts."
"Data Scientist","AI Innovations","Hyderabad","2-4 years","Machine Learning;Python;Data Analysis","Develop ML models for business solutions."
"Radiologist","City Medical Center","Bhopal","5-8 years","Radiology;Medical Imaging;Diagnosis","Analyze medical images to diagnose conditions."






